station_id,sss_autosal
A1,32.49428
A2,32.52720
A3,32.66762
A4,32.51477
A5,32.51953
A6,NaN
A7,32.51924
A8,32.66707
B1,32.51156
B2,32.52050
B3,32.51875
B1_val,NaN
C1,32.81570
C2,32.81278
C3,32.79778
C4,32.60832
C5,32.71481
C6,32.58807
C7,32.81611
C8,NaN
C9,32.78207
C10,NaN
C11,32.80570
I1,32.62136
I2,32.61552
I3,32.60579
I4,NaN
I5,NaN
I6,32.73082
I7,32.65460
I8,32.64818
I9,NaN
1A_1,32.87711
1A_2,32.91798
1A_3,32.82915
1A_4,32.83352
1A_5,32.90435
1B_1,32.81862
1B_2,32.84053
1B_3,32.82049
2C_1,32.81142
2C_2,NaN
2C_3,32.82837
3D_1,32.54020
3D_2,NaN
3D_3,NaN
3D_4,NaN
3D_5,NaN
4E_1,NaN
4E_2,NaN
4E_3,NaN
4E_4,NaN
4E_5,NaN
5F_1,25.01646
5F_2,NaN
5F_3,NaN
5F_4,NaN
5F_5,NaN
6G_1,NaN
6G_2,NaN
6G_3,NaN
6G_4,NaN
7H_1,NaN
7H_2,NaN
7H_3,NaN
7H_4,NaN
7I_1,NaN
7I_2,NaN
7I_3,NaN
8J_1,29.53543
8J_2,NaN
8J_3,NaN
8J_4,NaN
8J_5,NaN
