station_id,campaign,latitude,longitude,sampling_frequency_hz,fjord
A1,SIMSVAL,60.699583,-46.082883,16,Qaqortoq Fjord
A2,SIMSVAL,60.695667,-46.075933,16,Qaqortoq Fjord
A3,SIMSVAL,60.688550,-46.075333,16,Qaqortoq Fjord
A4,SIMSVAL,60.693117,-46.094367,16,Qaqortoq Fjord
A5,SIMSVAL,60.695383,-46.106333,16,Qaqortoq Fjord
A6,SIMSVAL,60.694983,-46.160033,16,Qaqortoq Fjord
A7,SIMSVAL,60.692967,-46.165383,16,Qaqortoq Fjord
A8,SIMSVAL,60.673933,-46.156833,16,Qaqortoq Fjord
B1,SIMSVAL,60.779000,-45.629200,16,Eqaluit Fjord
B2,SIMSVAL,60.786750,-45.634583,16,Eqaluit Fjord
B3,SIMSVAL,60.796450,-45.639683,16,Eqaluit Fjord
B1_val,SIMSVAL,60.779000,-45.629200,2,Eqaluit Fjord
C1,SIMSVAL,60.294683,-44.004317,2,Aappilattoq Fjord
C2,SIMSVAL,60.298683,-44.006933,2,Aappilattoq Fjord
C3,SIMSVAL,60.302633,-44.008333,2,Aappilattoq Fjord
C4,SIMSVAL,60.346950,-44.064733,2,Aappilattoq Fjord
C5,SIMSVAL,60.346267,-44.078833,2,Aappilattoq Fjord
C6,SIMSVAL,60.345617,-44.093250,2,Aappilattoq Fjord
C7,SIMSVAL,60.265150,-44.094050,2,Aappilattoq Fjord
C8,SIMSVAL,60.241700,-44.131533,2,Aappilattoq Fjord
C9,SIMSVAL,60.229583,-44.163150,2,Aappilattoq Fjord
C10,SIMSVAL,60.228817,-44.157800,2,Aappilattoq Fjord
C11,SIMSVAL,60.224400,-44.145083,2,Aappilattoq Fjord
I1,SIMSVAL,65.985000,-52.523333,16,Eternity Fjord
I2,SIMSVAL,65.986517,-52.530700,16,Eternity Fjord
I3,SIMSVAL,65.992333,-52.537200,16,Eternity Fjord
I4,SIMSVAL,65.984300,-52.590533,16,Eternity Fjord
I5,SIMSVAL,65.948283,-52.644367,16,Eternity Fjord
I6,SIMSVAL,65.906017,-52.816067,16,Eternity Fjord
I7,SIMSVAL,65.912317,-52.822633,16,Eternity Fjord
I8,SIMSVAL,65.920100,-52.825783,16,Eternity Fjord
I9,SIMSVAL,65.943533,-52.722583,16,Eternity Fjord
1A_1,FANS,66.941758,-53.711090,16,Sisimiut Fjord
1A_2,FANS,66.942838,-53.728525,16,Sisimiut Fjord
1A_3,FANS,66.944730,-53.744258,16,Sisimiut Fjord
1A_4,FANS,66.944700,-53.746107,16,Sisimiut Fjord
1A_5,FANS,66.943797,-53.746107,16,Sisimiut Fjord
1B_1,FANS,66.941988,-53.769010,16,Sisimiut Fjord
1B_2,FANS,66.941780,-53.762857,16,Sisimiut Fjord
1B_3,FANS,66.957467,-53.752500,16,Sisimiut Fjord
2C_1,FANS,66.889198,-53.854903,16,Sisimiut Fjord
2C_2,FANS,66.893143,-53.641913,16,Sisimiut Fjord
2C_3,FANS,66.878965,-53.687737,16,Sisimiut Fjord
3D_1,FANS,69.434175,-50.894293,16,Ata Fjord
3D_2,FANS,NaN,NaN,16,Ata Fjord
3D_3,FANS,69.453203,-51.001352,16,Ata Fjord
3D_4,FANS,69.493862,-51.051732,16,Ata Fjord
3D_5,FANS,69.432898,-51.082833,16,Ata Fjord
4E_1,FANS,61.137283,-45.490125,16,Narsarsuaaraq Fjord
4E_2,FANS,61.126973,-45.480743,16,Narsarsuaaraq Fjord
4E_3,FANS,61.127067,-45.465123,16,Narsarsuaaraq Fjord
4E_4,FANS,61.128332,-45.442687,16,Narsarsuaaraq Fjord
4E_5,FANS,61.129132,-45.421070,16,Narsarsuaaraq Fjord
5F_1,FANS,61.016237,-46.130263,16,Narsarsuaaraq Fjord
5F_2,FANS,61.022997,-46.128693,16,Narsarsuaaraq Fjord
5F_3,FANS,61.031693,-46.126930,16,Narsarsuaaraq Fjord
5F_4,FANS,61.043157,-46.130373,16,Narsarsuaaraq Fjord
5F_5,FANS,61.004088,-46.078985,16,Narsarsuaaraq Fjord
6G_1,FANS,60.710668,-46.012330,16,Qaqortoq Fjord
6G_2,FANS,60.705627,-46.008697,16,Qaqortoq Fjord
6G_3,FANS,60.700013,-46.004455,16,Qaqortoq Fjord
6G_4,FANS,60.691838,-46.002292,16,Qaqortoq Fjord
7H_1,FANS,60.287338,-44.238307,16,Aappilattoq Fjord
7H_2,FANS,60.291392,-44.229343,16,Aappilattoq Fjord
7H_3,FANS,60.294523,-44.220062,16,Aappilattoq Fjord
7H_4,FANS,60.296798,-44.212538,16,Aappilattoq Fjord
7I_1,FANS,60.263812,-44.173888,16,Aappilattoq Fjord
7I_2,FANS,60.262538,-44.191625,16,Aappilattoq Fjord
7I_3,FANS,60.260330,-44.211833,16,Aappilattoq Fjord
8J_1,FANS,60.180105,-43.629607,16,Prince Christian Glacier
8J_2,FANS,60.179163,-43.609347,16,Prince Christian Glacier
8J_3,FANS,60.178238,-43.620312,16,Prince Christian Glacier
8J_4,FANS,60.180138,-43.638010,16,Prince Christian Glacier
8J_5,FANS,60.160980,-43.628480,16,Prince Christian Glacier
